ASX code,Company name,Listing date,GICs industry group,Market Cap
TBA,TOMBOLA GOLD LTD,3/5/12,Materials,23834718
TBN,TAMBORAN RESOURCES LIMITED,2/7/21,Energy,228501195
TBR,TRIBUNE RESOURCES LIMITED,4/5/89,Materials,254470173
TCF,360 CAPITAL ENHANCED INCOME FUND,17/10/06,Not Applic,19175367
TCL,TRANSURBAN GROUP,14/3/96,Transportation,40003781008
TCO,TRANSMETRO CORPORATION LIMITED,17/9/87,Consumer Services,11241534
TD1,TALI DIGITAL LIMITED,23/9/04,Health Care Equipment & Services,33548608
TDL,TBG DIAGNOSTICS LIMITED,22/12/95,"Pharmaceuticals, Biotechnology & Life Sciences",N/A
TDO,3D OIL LIMITED,22/5/07,Energy,13259419
TEG,TRIANGLE ENERGY (GLOBAL) LIMITED,6/1/06,Energy,15431087
TEK,THORNEY TECHNOLOGIES LTD,10/5/05,Not Applic,174745664
TEM,TEMPEST MINERALS LIMITED,28/3/17,Materials,5979409
TER,TERRACOM LIMITED,22/7/10,Energy,97968992
TES,TEST SECURITY,,Class Pend,0
TFL,TASFOODS LIMITED,16/12/99,"Food, Beverage & Tobacco",43987833
TG1,TECHGEN METALS LTD,7/4/21,Materials,11295337
TGA,THORN GROUP LIMITED,13/12/06,Retailing,70873789
TGF,TRIBECA GLOBAL NATURAL RESOURCES LIMITED,12/10/18,Not Applic,142065000
TGG,TEMPLETON GLOBAL GROWTH FUND LIMITED,28/5/87,Not Applic,311012386
TGH,TERRAGEN HOLDINGS LIMITED,11/12/19,Materials,52059843
TGM,THETA GOLD MINES LIMITED,7/4/11,Materials,113230275
TGN,TUNGSTEN MINING NL,17/12/12,Materials,106165927
TGP,360 CAPITAL GROUP,26/7/05,Real Estate,208193034
TGR,TASSAL GROUP LIMITED,12/11/03,"Food, Beverage & Tobacco",728333550
THR,THOR MINING PLC,27/9/06,Materials,26011512
TI1,TOMBADOR IRON LIMITED,22/11/04,Real Estate,198726093
TIA,TIAN AN AUSTRALIA LIMITED,11/12/85,Real Estate,27714826
TIE,TIETTO MINERALS LIMITED,18/1/18,Materials,161945837
TIG,TIGERS REALM COAL LIMITED,29/8/11,Materials,117600321
TIN,TNT MINES LIMITED,3/11/17,Materials,18607475
TIP,TEAMINVEST PRIVATE GROUP LIMITED,24/5/19,Diversified Financials,80909572
TKL,TRAKA RESOURCES LIMITED,20/11/03,Materials,8668405
TKM,TREK METALS LIMITED,5/7/07,Materials,17540847
TLG,TALGA GROUP LTD,9/7/10,Materials,385101981
TLM,TALISMAN MINING LIMITED,25/11/05,Materials,34526251
TLS,TELSTRA CORPORATION LIMITED.,17/11/97,Telecommunication Services,44956665892
TLT,TILT RENEWABLES LIMITED.,28/10/16,Utilities,2860169180
TLX,TELIX PHARMACEUTICALS LIMITED,15/11/17,"Pharmaceuticals, Biotechnology & Life Sciences",1472890424
TMG,TRIGG MINING LTD.,3/10/19,Materials,10878133
TMH,THE MARKET HERALD LIMITED,15/9/16,Media & Entertainment,100523124
TMK,TAMASKA OIL AND GAS LTD,10/7/08,Energy,7520000
TML,TIMAH RESOURCES LIMITED,16/9/15,Utilities,6785376
TMR,TEMPUS RESOURCES LTD,15/8/18,Materials,17280307
TMS,TENNANT MINERALS NL,17/8/04,Materials,13961288
TMT,TECHNOLOGY METALS AUSTRALIA LIMITED,21/12/16,Materials,47306088
TMX,TERRAIN MINERALS LIMITED,23/3/06,Materials,6621849
TMZ,THOMSON RESOURCES LIMITED,17/12/10,Materials,55593301
TNE,TECHNOLOGY ONE LIMITED,8/12/99,Software & Services,2959168896
TNG,TNG LIMITED,18/2/71,Materials,76219319
TNK,THINK CHILDCARE GROUP,24/10/14,Consumer Services,198831155
TNP,TRIPLE ENERGY LIMITED,14/12/05,Energy,N/A
TNR,TORIAN RESOURCES LIMITED,30/6/86,Materials,24342840
TNT,TESSERENT LIMITED,15/2/16,Software & Services,304667087
TNY,TINYBEANS GROUP LTD,21/4/17,Media & Entertainment,59714264
TOE,TORO ENERGY LIMITED,24/3/06,Energy,64908681
TOM,TOMIZONE LIMITED,1/1/74,Telecommunication Services,N/A
TON,TRITON MINERALS LTD,14/8/09,Materials,38571914
TOP,THORNEY OPPORTUNITIES LTD,22/3/00,Not Applic,111925087
TOR,TORQUE METALS LIMITED..,25/6/21,Materials,12877796
TOT,360 CAPITAL REIT,22/4/15,Diversified Financials,133607564
TOU,TLOU ENERGY LIMITED,9/4/13,Energy,23407763
TOY,TOYS'R'US ANZ LIMITED,14/9/00,Retailing,135737417
TPC,TPC CONSOLIDATED LIMITED,16/7/07,Utilities,40155914
TPD,TALON ENERGY LTD,28/2/13,Energy,54151106
TPG,TPG TELECOM LIMITED.,30/6/20,Telecommunication Services,11416357848
TPO,TIAN POH RESOURCES LIMITED,11/11/14,Materials,17393077
TPP,TEMPO AUSTRALIA LTD,4/12/80,Commercial & Professional Services,24296579
TPS,THREAT PROTECT AUSTRALIA LIMITED,3/3/94,Commercial & Professional Services,6987732
TPW,TEMPLE & WEBSTER GROUP LTD,10/12/15,Retailing,1271982920
TRA,TURNERS AUTOMOTIVE GROUP LIMITED,28/7/17,Retailing,245297357
TRJ,TRAJAN GROUP HOLDINGS LIMITED,7/6/21,"Pharmaceuticals, Biotechnology & Life Sciences",300562693
TRL,TANGA RESOURCES LIMITED,9/3/11,Materials,13322443
TRM,TRUSCOTT MINING CORPORATION LIMITED,18/4/07,Materials,5166012
TRN,TORRENS MINING LIMITED,7/1/21,Materials,24392107
TRS,THE REJECT SHOP LIMITED,1/6/04,Retailing,215395616
TRT,TODD RIVER RESOURCES LIMITED,6/4/17,Materials,40151882
TRU,TRUSCREEN GROUP LIMITED,6/1/21,Health Care Equipment & Services,23223440
TRY,TROY RESOURCES LIMITED,5/3/87,Materials,31863881
TSC,TWENTY SEVEN CO. LIMITED,18/10/06,Energy,10643206
TSI,TOP SHELF INTERNATIONAL HOLDINGS LTD,10/12/20,"Food, Beverage & Tobacco",81280896
TSL,TITANIUM SANDS LIMITED,22/12/88,Materials,N/A
TSO,TESORO RESOURCES LIMITED,28/1/04,Materials,99899573
TTA,TTA HOLDINGS LIMITED,16/2/06,Retailing,4947243
TTB,TOTAL BRAIN LIMITED,28/8/01,Health Care Equipment & Services,31408097
TTI,TRAFFIC TECHNOLOGIES LTD.,17/2/98,Transportation,21700111
TTL,TRANSCENDENCE TECHNOLOGIES LIMITED,21/3/03,Software & Services,N/A
TTM,TITAN MINERALS LIMITED,15/11/06,Materials,142431554
TTT,TITOMIC LIMITED,21/9/17,Materials,65897358
TUA,TUAS LIMITED,30/6/20,Telecommunication Services,310819044
TUL,TULLA RESOURCES PLC,18/3/21,Materials,139969660
TV2,TV2U INTERNATIONAL LIMITED,7/6/07,Software & Services,N/A
TWD,TAMAWOOD LIMITED,14/8/00,Consumer Durables & Apparel,106370826
TWE,TREASURY WINE ESTATES LIMITED,10/5/11,"Food, Beverage & Tobacco",8683833557
TWR,TOWER LIMITED,28/9/99,Insurance,293044844
TYM,TYMLEZ GROUP LIMITED,13/12/18,Software & Services,21650433
TYR,TYRO PAYMENTS LIMITED,6/12/19,Software & Services,1792517972
TYX,TYRANNA RESOURCES LIMITED,11/7/07,Materials,7694164
TZL,TZ LIMITED,22/1/87,Technology Hardware & Equipment,20298529
TZN,TERRAMIN AUSTRALIA LIMITED.,23/12/03,Materials,74079695
UBI,UNIVERSAL BIOSENSORS INC.,13/12/06,Health Care Equipment & Services,144869106
UBN,,22/9/14,Software & Services,
UCM,USCOM LIMITED,10/12/03,Health Care Equipment & Services,24931428
UCW,UCW LIMITED,25/6/04,Consumer Services,18214739
UMG,UNITED MALT GROUP LIMITED,24/3/20,"Food, Beverage & Tobacco",1352289690
UNI,UNIVERSAL STORE HOLDINGS LIMITED,16/11/20,Retailing,518226519
UOS,UNITED OVERSEAS AUSTRALIA LIMITED,17/2/88,Real Estate,1149816027
URF,US MASTERS RESIDENTIAL PROPERTY FUND,23/7/12,Real Estate,121031129
URW,UNIBAIL-RODAMCO-WESTFIELD,31/5/18,Real Estate,15772044541
UUL,ULTIMA UNITED LIMITED,1/6/07,Real Estate,24235191
UUV,UUV AQUABOTIX LTD,28/4/17,Capital Goods,N/A
UWL,UNITI GROUP LIMITED,13/2/19,Telecommunication Services,2312195831
VAL,VALOR RESOURCES LIMITED,29/8/97,Materials,26044483
VAN,VANGO MINING LIMITED,8/3/05,Materials,75842620
VAR,VARISCAN MINES LIMITED,20/8/87,Materials,19691920
VBC,VERBREC LIMITED,11/12/07,Capital Goods,39674501
VBS,VECTUS BIOSYSTEMS LIMITED,23/2/16,"Pharmaceuticals, Biotechnology & Life Sciences",42576505
VCX,VICINITY CENTRES,5/12/11,Real Estate,6873935791
VEA,VIVA ENERGY GROUP LIMITED,13/7/18,Energy,3408193932
VEE,VEEM LTD,26/10/16,Capital Goods,156000000
VEN,VINTAGE ENERGY LTD,17/9/18,Energy,43582021
VG1,VGI PARTNERS GLOBAL INVESTMENTS LIMITED,28/9/17,Not Applic,943578490
VG8,VGI PARTNERS ASIAN INVESTMENTS LIMITED,13/11/19,Not Applic,536514725
VGI,VGI PARTNERS LIMITED,21/6/19,Diversified Financials,493529615
VGL,VISTA GROUP INTERNATIONAL LIMITED.,11/8/14,Software & Services,473646661
VHT,VOLPARA HEALTH TECHNOLOGIES LIMITED,27/4/16,Health Care Equipment & Services,291525494
VIA,VIAGOLD RARE EARTH RESOURCES HOLDINGS LIMITED,7/2/96,Materials,6831617
VIC,VICTORY MINES LIMITED,9/10/12,Materials,13920632
VIG,VICTOR GROUP HOLDINGS LIMITED,9/5/14,Software & Services,17166800
VII,VIETNAM INDUSTRIAL INVESTMENTS LIMITED,18/9/95,Materials,N/A
VIP,VIP GLOVES LTD,5/2/97,Health Care Equipment & Services,35364665
VKA,VIKING MINES LIMITED,12/5/10,Materials,18382652
VLS,VITA LIFE SCIENCES LIMITED..,23/8/07,"Pharmaceuticals, Biotechnology & Life Sciences",58970925
VMC,VENUS METALS CORPORATION LIMITED,12/6/07,Materials,27949556
VMG,VDM GROUP LIMITED,15/2/06,Capital Goods,10391491
VML,VITAL METALS LIMITED,11/10/05,Materials,216020120
VMS,VENTURE MINERALS LIMITED,22/9/06,Materials,172793307
VMT,VMOTO LIMITED,31/1/02,Automobiles & Components,96085979
VMX,VALMEC LIMITED,13/1/05,Energy,41541461
VMY,VIMY RESOURCES LIMITED,23/5/08,Energy,108434087
VN8,VONEX LIMITED..,13/6/18,Telecommunication Services,28004354
VOC,VOCUS GROUP LIMITED,10/6/99,Telecommunication Services,N/A
VOL,VICTORY OFFICES LIMITED,14/6/19,Real Estate,26834163
VOR,VORTIV LIMITED,8/8/01,Software & Services,5339926
VPR,VOLT POWER GROUP LIMITED,18/4/91,Utilities,28033601
VR1,VECTION TECHNOLOGIES LTD,17/3/17,Software & Services,63025204
VR8,VANADIUM RESOURCES LIMITED,3/11/17,Materials,25106646
VRC,VOLT RESOURCES LIMITED,19/12/03,Materials,N/A
VRS,VERIS LIMITED,25/6/08,Commercial & Professional Services,36302659
VRT,VIRTUS HEALTH LIMITED,11/6/13,Health Care Equipment & Services,527357993
VRX,VRX SILICA LIMITED,24/2/11,Materials,111601442
VTG,VITA GROUP LIMITED,2/11/05,Retailing,170572587
VUK,VIRGIN MONEY UK PLC,3/2/16,Banks,5068776877
VUL,VULCAN ENERGY RESOURCES LIMITED,30/5/18,Materials,1000583840
VVA,VIVA LEISURE LIMITED,7/6/19,Consumer Services,145882073
VXR,VENTUREX RESOURCES LIMITED,27/4/07,Materials,430247748
VXRNF,VENTUREX RESOURCES LIMITED,27/4/07,Materials,430247748
VYS,VYSARN LIMITED,14/12/07,Materials,37921675
WAA,WAM ACTIVE LIMITED,11/1/08,Not Applic,77575801
WAF,WEST AFRICAN RESOURCES LIMITED,11/6/10,Materials,953921152
WAK,WA KAOLIN LIMITED,26/11/20,Materials,70705471
WAM,WAM CAPITAL LIMITED,12/8/99,Not Applic,1941085419
WAR,WAM STRATEGIC VALUE LIMITED,28/6/21,Not Applic,239400001
WAT,WATERCO LIMITED,23/3/89,Consumer Durables & Apparel,103574219
WAX,WAM RESEARCH LIMITED,19/8/03,Not Applic,329953396
WBC,WESTPAC BANKING CORPORATION,18/7/70,Banks,91678109282
WBE,WHITEBARK ENERGY LTD,10/3/04,Energy,N/A
WBT,WEEBIT NANO LTD,21/12/10,Technology Hardware & Equipment,246644117
WC8,WILDCAT RESOURCES LIMITED,4/8/04,Materials,12937500
WCG,WEBCENTRAL GROUP LIMITED.,14/12/99,Software & Services,73798698
WCN,WHITE CLIFF MINERALS LIMITED,14/12/07,Materials,6723553
WEB,WEBJET LIMITED,19/11/97,Retailing,1830617426
WEC,WHITE ENERGY COMPANY LIMITED,23/7/99,Energy,116171808
WEL,WINCHESTER ENERGY LTD,23/9/14,Energy,12093286
WES,WESFARMERS LIMITED,15/11/84,Retailing,66454376584
WFL,WELLFULLY LIMITED,29/5/00,"Pharmaceuticals, Biotechnology & Life Sciences",13008869
WGB,WAM GLOBAL LIMITED,22/6/18,Not Applic,629526027
WGN,WAGNERS HOLDING COMPANY LIMITED,8/12/17,Materials,393113463
WGO,WARREGO ENERGY LIMITED,12/12/07,Energy,245890563
WGX,WESTGOLD RESOURCES LIMITED.,6/12/16,Materials,820693435
WHC,WHITEHAVEN COAL LIMITED,1/6/07,Energy,2137573560
WHF,WHITEFIELD LIMITED,2/8/71,Not Applic,601689706
WHK,WHITEHAWK LIMITED,24/1/18,Retailing,40873418
WIC,WESTOZ INVESTMENT COMPANY LIMITED,16/9/09,Not Applic,161760060
WJA,WAMEJA LIMITED,8/9/00,Software & Services,163464839
WKT,WALKABOUT RESOURCES LTD,7/11/06,Materials,97772116
WLD,WELLARD LIMITED,10/12/15,"Food, Beverage & Tobacco",32406269
WLE,WAM LEADERS LIMITED,30/5/16,Not Applic,1319130564
WMA,WAM ALTERNATIVE ASSETS LIMITED,16/6/14,Not Applic,193932860
WMG,WESTERN MINES GROUP LTD,20/7/21,Materials,0
WMI,WAM MICROCAP LIMITED,28/6/17,Not Applic,387553480
WML,WOOMERA MINING LIMITED,15/9/05,Materials,9994911
WNB,WELLNESS AND BEAUTY SOLUTIONS LIMITED,14/1/16,Consumer Services,N/A
WNR,WINGARA AG LTD,31/1/90,"Food, Beverage & Tobacco",16597784
WNX,WELLNEX LIFE LIMITED,15/3/17,"Food, Beverage & Tobacco",36036698
WOA,WIDE OPEN AGRICULTURE LTD,6/7/18,"Food, Beverage & Tobacco",89985356
WOO,WOOBOARD TECHNOLOGIES LIMITED,9/7/15,Software & Services,7644325
WOR,WORLEY LIMITED,28/11/02,Energy,5993405249
WOT,WOTSO PROPERTY,28/10/11,Real Estate,236236410
WOW,WOOLWORTHS GROUP LIMITED,12/7/93,Food & Staples Retailing,48589117144
WPL,WOODSIDE PETROLEUM LTD,18/11/71,Energy,22133429981
WPR,WAYPOINT REIT,3/8/16,Real Estate,2033207179
WQG,WCM GLOBAL GROWTH LIMITED,23/6/17,Not Applic,279397191
WRM,WHITE ROCK MINERALS LIMITED,8/10/10,Materials,43868695
WSA,WESTERN AREAS LIMITED,28/7/00,Materials,749428551
WSI,WESTSTAR INDUSTRIAL LIMITED,7/6/06,Materials,26337867
WSP,WHISPIR LIMITED,19/6/19,Software & Services,316829555
WSR,WESTAR RESOURCES LIMITED,17/12/20,Materials,8820726
WTC,WISETECH GLOBAL LIMITED,11/4/16,Software & Services,9894259423
WTL,WT FINANCIAL GROUP LIMITED,9/3/15,Diversified Financials,14376783
WWG,WISEWAY GROUP LIMITED,31/10/18,Transportation,43145631
WWI,WEST WITS MINING LIMITED,19/12/07,Materials,113536320
WZR,WISR LIMITED,16/3/89,Diversified Financials,342272305
XAM,XANADU MINES LTD,21/12/10,Materials,47713475
XF1,XREF LIMITED,18/4/07,Software & Services,88419985
XRF,XRF SCIENTIFIC LIMITED,31/10/06,Capital Goods,65934936
XRO,XERO LIMITED,8/11/12,Software & Services,19936968832
XST,XSTATE RESOURCES LIMITED,14/1/88,Energy,12103144
XTC,XANTIPPE RESOURCES LIMITED,15/8/07,Materials,8149129
XTE,XTEK LIMITED.,15/9/05,Capital Goods,31966452
YAL,YANCOAL AUSTRALIA LIMITED,28/6/12,Energy,2825740395
YBR,YELLOW BRICK ROAD HOLDINGS LIMITED,31/1/08,Banks,29509257
YFZ,YOUFOODZ HOLDINGS LIMITED,8/12/20,"Food, Beverage & Tobacco",121765459
YOJ,YOJEE LIMITED,2/12/10,Software & Services,211378530
YOW,YOWIE GROUP LTD,15/9/99,"Food, Beverage & Tobacco",9179852
YPB,YPB GROUP LTD,7/3/05,Commercial & Professional Services,9983641
YRL,YANDAL RESOURCES LIMITED,14/12/18,Materials,56246374
Z1P,ZIP CO LIMITED.,9/12/09,Diversified Financials,3884356291
ZAG,ZULEIKA GOLD LIMITED,23/8/10,Materials,11482614
ZBT,ZEBIT INC.,26/10/20,Retailing,94117617
ZEL,Z ENERGY LIMITED.,19/8/13,Energy,1353239818
ZEO,ZEOTECH LIMITED,16/10/09,Materials,106985914
ZER,ZETA RESOURCES LIMITED,12/6/13,Not Applic,220741587
ZEU,ZEUS RESOURCES LIMITED,21/1/13,Energy,19057800
ZGL,ZICOM GROUP LIMITED,12/11/70,Capital Goods,18022685
ZIM,ZIMPLATS HOLDINGS LIMITED,15/10/98,Materials,2314209454
ZLD,ZELIRA THERAPEUTICS LIMITED,28/7/03,"Pharmaceuticals, Biotechnology & Life Sciences",54754856
ZMI,ZINC OF IRELAND NL,18/9/07,Materials,8294527
ZMM,ZIMI LIMITED,10/9/07,Technology Hardware & Equipment,10254154
ZNC,ZENITH MINERALS LIMITED,29/5/07,Materials,76533608
ZNO,ZOONO GROUP LIMITED,21/7/88,Materials,113669018
